createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
12/29/2020 11:33:04,gridshot,0,9mm,0,v0.96.5.3-3201,80.99173,80,75,92,80,100,64,71,79,299.351694924491,314.281691259267,308.815434382512,274.859345522794,300.218074451793,221.379427228655,377.051341465541,336.408728027344,289.067667180842,199,242,3.271639,196,
12/29/2020 11:31:53,gridshot,0,9mm,0,v0.96.5.3-3201,79.66805,82,81,88,80,100,67,67,44,305.175739129384,292.50487054563,300.256812095642,298.291909067254,285.294117320668,212.821621704102,359.349090576172,375.236312866211,549.295930862427,195,241,3.204988,192,
12/29/2020 11:30:28,gridshot,0,9mm,0,v0.96.5.3-3201,79.75206,76,81,78,85,77,80,100,83,305.194654632726,328.845474936745,297.580548825471,319.494434854259,280.589650647394,296.809887695313,294.182716369629,257.047103881836,281.693354797363,196,242,3.221598,193,
12/28/2020 11:19:01,gridshot,0,9mm,0,v0.96.5.3-3201,84.45378,81,86,86,84,86,71,100,89,293.191431036043,302.946273803711,279.083728913338,279.56413325557,312.764437507181,296.869771321615,359.734278869629,208.349308558873,242.01989364624,204,238,3.35516167,201,
12/28/2020 11:17:55,gridshot,0,9mm,0,v0.96.5.3-3201,86.72199,83,92,88,82,100,100,89,77,282.155956067537,285.718512980143,271.014987702065,290.497193739149,296.641265124809,225.280726114909,276.892883300781,288.666149139404,289.581295776367,212,241,3.488723,209,
12/27/2020 17:34:49,gridshot,10,9mm,0,v0.96.5.3-3201,83.46457,82,80,91,81,75,82,100,100,277.258274294295,290.929571068805,316.369042373285,240.327212142944,274.117766807819,294.155331929525,304.531192355686,207.901426042829,201.19856262207,215,254,3.53892422,212,
12/27/2020 17:33:38,gridshot,10,9mm,0,v0.96.5.3-3201,83.73984,84,86,82,75,100,100,100,100,285.773765193606,285.36243827388,272.764182798324,298.193126763238,323.635377966839,249.799140930176,213.944734053178,224.341052246094,226.805606842041,209,246,3.43867636,206,
12/27/2020 17:31:13,gridshot,10,9mm,0,v0.96.5.3-3201,86.1224442,90,80,84,86,88,83,100,100,279.250009473466,273.583564271318,299.846852744498,290.754646157319,267.925144889138,247.17296055385,275.179385375977,235.932562255859,227.44563293457,214,245,3.52216673,211,
12/27/2020 17:30:03,gridshot,10,9mm,0,v0.96.5.3-3201,80.99173,77,83,79,90,75,64,100,78,299.998831262394,307.935809077049,297.983533522662,322.983432304568,266.785997564142,328.735748291016,367.952327183315,223.703456333705,340.044793265206,199,242,3.27174,196,
12/26/2020 10:56:53,gridshot,0,9mm,0,v0.96.5.3-3201,76.49573,77,80,73,70,100,100,100,89,329.051743661891,330.480935138205,317.832543459806,341.274672614204,371.943611798968,215.317425537109,295.952362060547,252.91872660319,227.161691665649,182,234,2.98789358,179,
12/25/2020 23:58:10,gridshot,10,9mm,0,v0.96.5.3-3201,78.54077,76,77,90,81,100,67,67,73,323.959023695726,343.933879179113,323.93891952977,280.323910748517,315.077364240374,251.64899597168,344.678779602051,393.722839355469,345.309663772583,186,233,3.05471015,183,
12/25/2020 22:36:51,gridshot,10,9mm,0,v0.96.5.3-3201,85.18519,89,85,82,83,83,83,100,90,284.891692414952,282.028316091984,282.659748770974,299.081713867188,289.085041300456,270.255264282227,283.0302734375,230.629577636719,282.819600423177,210,243,3.45545888,207,
12/25/2020 22:35:44,gridshot,10,9mm,0,v0.96.5.3-3201,85.41667,88,81,83,90,70,86,88,92,285.737707742831,272.094541047749,310.882192922193,302.591595798069,256.111869649684,379.997953142439,264.076044718425,277.279155186244,255.444828380238,208,240,3.42198229,205,
12/25/2020 22:34:37,gridshot,10,9mm,0,v0.96.5.3-3201,85.40773,89,88,86,72,88,100,86,83,295.254106071127,283.82004292806,282.968002624512,292.003241689582,367.739518790409,270.72963823591,270.515932355608,285.982462565104,266.017588806152,202,233,3.32193756,199,
12/25/2020 22:33:30,gridshot,10,9mm,0,v0.96.5.3-3201,82.75862,78,82,81,90,75,92,86,88,303.976593097051,336.186500950863,294.079853439331,306.332771888146,265.265394511976,358.272834777832,301.557403564453,305.144777933757,277.759634835379,195,232,3.20484018,192,
12/25/2020 22:32:24,gridshot,10,9mm,0,v0.96.5.3-3201,81.05727,74,76,91,83,69,60,100,100,321.061379308286,359.946016148158,342.151137579055,300.110402061826,293.584337283403,394.913152058919,426.003326416016,253.853385925293,224.17116800944,187,227,3.07143354,184,
12/25/2020 22:31:16,gridshot,10,9mm,0,v0.96.5.3-3201,81.4346,75,84,81,81,90,83,100,100,304.704063296936,329.54820090846,292.060249328613,316.938911132812,294.933442226676,296.073438856337,304.351681518555,262.802073160807,235.734615325928,196,237,3.22156835,193,
12/25/2020 22:28:43,gridshot,10,9mm,0,v0.96.5.3-3201,87.8787842,91,84,94,81,83,100,100,83,290.005320356397,277.678485481106,315.351581739343,262.599328873005,321.010380336216,294.996206665039,240.846626281738,315.638946533203,293.348948669434,206,231,3.38850451,203,
12/25/2020 22:27:35,gridshot,10,9mm,0,v0.96.5.3-3201,80.88889,81,83,76,87,88,100,100,60,323.337527432285,322.188909115999,310.395103277162,351.924917120682,289.749655983665,295.46248953683,258.93854675293,253.296875,501.393323262533,185,225,3.03811479,182,
12/25/2020 22:26:23,gridshot,10,9mm,0,v0.96.5.3-3201,82.37885,85,85,80,84,90,100,100,46,315.474231903566,295.240537701231,312.62748374939,331.875799325796,304.370429830348,286.922614203559,290.982448032924,242.236437988281,578.822362263997,190,227,3.12162662,187,
12/25/2020 22:25:13,gridshot,10,9mm,0,v0.96.5.3-3201,78.57143,78,79,87,76,61,78,100,86,335.483492331071,342.199022393478,338.533766313033,303.214806581155,331.642454098432,445.040410822088,358.989504132952,256.562835693359,325.305488586426,179,224,2.93797851,176,
12/25/2020 22:24:06,gridshot,10,9mm,0,v0.96.5.3-3201,82.32758,92,91,72,84,64,100,75,79,309.066576972682,281.507813178168,264.792161464691,360.579806783925,296.689124030036,368.747414725167,231.272855122884,345.28199005127,366.615851662376,194,232,3.1883707,191,
12/25/2020 15:10:27,gridshot,10,9mm,0,v0.96.5.3-3201,80,80,76,86,90,50,75,62,80,325.305397033692,303.611238606771,369.151990336757,317.657459861354,280.051761936497,536.236480712891,333.321372138129,398.868121337891,291.356216430664,183,225,3.00470567,180,
12/25/2020 15:09:16,gridshot,10,9mm,0,v0.96.5.3-3201,80,76,86,77,77,86,90,89,80,323.621849399143,336.718469473032,321.823801994324,307.381050109863,344.326024156936,338.686419169108,260.371553209093,304.62099647522,302.876930236816,183,225,3.00466251,180,
12/25/2020 15:08:08,gridshot,10,9mm,0,v0.96.5.3-3201,79.5652161,81,91,68,94,57,64,57,100,322.24502038174,315.69508281507,280.184921756867,386.366962921925,260.236696069891,413.169809341431,451.256200154622,511.131401062012,249.25282796224,186,230,3.05469012,183,
